ds,y
2018-01-01,2926.0
2018-01-02,2687.531
2018-01-03,2793.0
2018-01-04,2394.0
2018-01-05,2660.0
2018-01-06,2527.0
2018-01-07,2527.0
2018-01-08,2793.0
2018-01-09,2793.0
2018-01-10,2793.0
2018-01-11,2926.0
2018-01-12,2793.0
2018-01-13,2869.8208
2018-01-14,3325.0
2018-01-15,2261.0
2018-01-16,2261.0
2018-01-17,2253.685
2018-01-18,2394.0
2018-01-19,2394.0
2018-01-20,2394.0
2018-01-21,2527.0
2018-01-22,2793.0
2018-01-23,2660.0
2018-01-24,2547.1362
2018-01-25,2926.0
2018-01-26,2926.0
2018-01-27,3059.0
2018-01-28,2853.1027
2018-01-29,2793.0
2018-01-30,2793.0
2018-01-31,2816.4745
2018-02-01,2231.1548
2018-02-02,5212.004
2018-02-03,5032.853
2018-02-04,2253.685
2018-02-05,2261.0
2018-02-06,2261.0
2018-02-07,2253.685
2018-02-08,2253.685
2018-02-09,2394.0
2018-02-10,2527.0
2018-02-11,2380.1148
2018-02-12,2660.0
2018-02-13,2380.1148
2018-02-14,2793.0
2018-02-15,3059.0
2018-02-16,3040.0076
2018-02-17,2926.0
2018-02-18,2926.0
2018-02-19,2660.0
2018-02-20,2793.0
2018-02-21,2510.7208
2018-02-22,5105.0587
2018-02-23,3667.6346
2018-02-24,2300.0488
2018-02-25,2775.3642
2018-02-26,2582.062
2018-02-27,2527.0
2018-02-28,2394.0
2018-03-01,2793.0
2018-03-02,2793.0
2018-03-03,2793.0
2018-03-04,3021.0152
2018-03-05,4752.09
2018-03-06,2082.514
2018-03-07,2042.8135
2018-03-08,2201.6022
2018-03-09,2246.0774
2018-03-10,2171.757
2018-03-11,2042.8135
2018-03-12,2261.0
2018-03-13,2231.1548
2018-03-14,2386.3525
2018-03-15,2394.0
2018-03-16,2394.0
2018-03-17,2527.0
2018-03-18,2527.0
2018-03-19,2660.0
2018-03-20,2660.0
2018-03-21,5042.961
2018-03-22,2176.5051
2018-03-23,2331.9023
2018-03-24,2527.0
2018-03-25,2261.0
2018-03-26,2519.02
2018-03-27,4927.5968
2018-03-28,2784.355
2018-03-29,2394.0
2018-03-30,2527.0
2018-03-31,2527.0
2018-04-01,2331.9023
2018-04-02,2527.0
2018-04-03,2378.3991
2018-04-04,2142.2044
2018-04-05,2201.6022
2018-04-06,2231.1548
2018-04-07,2253.685
2018-04-08,2261.0
2018-04-09,2261.0
2018-04-10,2238.7624
2018-04-11,2261.0
2018-04-12,2394.0
2018-04-13,2261.0
2018-04-14,2253.685
2018-04-15,2394.0
2018-04-16,2261.0
2018-04-17,2261.0
2018-04-18,5204.7023
2018-04-19,2128.0
2018-04-20,2171.757
2018-04-21,2128.0
2018-04-22,2128.0
2018-04-23,2128.0
2018-04-24,2128.0
2018-04-25,2128.0
2018-04-26,2261.0
2018-04-27,2261.0
2018-04-28,5187.0
2018-04-29,5187.0
2018-04-30,5187.0
2018-05-01,5306.434
2018-05-02,2121.0175
2018-05-03,5320.0
2018-05-04,2128.0
2018-05-05,2128.0
2018-05-06,5320.0
2018-05-07,5110.658
2018-05-08,5238.87
2018-05-09,2261.0
2018-05-10,5187.0
2018-05-11,5054.0
2018-05-12,4921.0
2018-05-13,4788.0
2018-05-14,4921.0
2018-05-15,4921.0
2018-05-16,4921.0
2018-05-17,4921.0
2018-05-18,5054.0
2018-05-19,4921.0
2018-05-20,5054.0
2018-05-21,4788.0
2018-05-22,4788.0
2018-05-23,4921.0
2018-05-24,5054.0
2018-05-25,5054.0
2018-05-26,5054.0
2018-05-27,5005.4018
2018-05-28,4783.079
2018-05-29,5054.0
2018-05-30,5048.015
2018-05-31,4522.0
2018-06-01,4522.0
2018-06-02,4522.0
2018-06-03,4921.0
2018-06-04,4788.0
2018-06-05,4788.0
2018-06-06,4788.0
2018-06-07,4743.0593
2018-06-08,4897.9378
2018-06-09,5054.0
2018-06-10,4915.3475
2018-06-11,4788.0
2018-06-12,4522.0
2018-06-13,4921.0
2018-06-14,5054.0
2018-06-15,4921.0
2018-06-16,4522.0
2018-06-17,4522.0
2018-06-18,4389.0
2018-06-19,4389.0
2018-06-20,4380.1821
2018-06-21,4517.345
2018-06-22,4788.0
2018-06-23,4522.0
2018-06-24,4522.0
2018-06-25,4788.0
2018-06-26,4909.4689
2018-06-27,4723.096
2018-06-28,4921.0
2018-06-29,4389.0
2018-06-30,4788.0
2018-07-01,5048.015
2018-07-02,5048.015
2018-07-03,4921.0
2018-07-04,5054.0
2018-07-05,4980.983
2018-07-06,5266.002
2018-07-07,5705.7
2018-07-08,4974.2
2018-07-09,4681.6
2018-07-10,4974.2
2018-07-11,4512.5038
2018-07-12,4915.3475
2018-07-13,4522.0
2018-07-14,4256.0
2018-07-15,4256.0
2018-07-16,4522.0
2018-07-17,4389.0
2018-07-18,4384.6775
2018-07-19,4256.0
2018-07-20,4788.0
2018-07-21,4256.0
2018-07-22,4389.0
2018-07-23,4522.0
2018-07-24,4522.0
2018-07-25,4655.0
2018-07-26,5187.0
2018-07-27,4788.0
2018-07-28,4921.0
2018-07-29,4875.1017
2018-07-30,5048.015
2018-07-31,4522.0
2018-08-01,5047.35
2018-08-02,4522.0
2018-08-03,4788.0
2018-08-04,4921.0
2018-08-05,4788.0
2018-08-06,5054.0
2018-08-07,4921.0
2018-08-08,4389.0
2018-08-09,4389.0
2018-08-10,4522.0
2018-08-11,4921.0
2018-08-12,5054.0
2018-08-13,4389.0
2018-08-14,4389.0
2018-08-15,4512.5038
2018-08-16,4921.0
2018-08-17,4921.0
2018-08-18,4788.0
2018-08-19,4788.0
2018-08-20,4655.0
2018-08-21,4389.0
2018-08-22,4788.0
2018-08-23,4522.0
2018-08-24,4788.0
2018-08-25,4921.0
2018-08-26,4620.5264
2018-08-27,4921.0
2018-08-28,4788.0
2018-08-29,4788.0
2018-08-30,4522.0
2018-08-31,4788.0
2018-09-01,5320.0
2018-09-02,4921.0
2018-09-03,4788.0
2018-09-04,4620.5264
2018-09-05,4788.0
2018-09-06,4788.0
2018-09-07,5054.0
2018-09-08,5212.004
2018-09-09,5054.0
2018-09-10,4921.0
2018-09-11,4921.0
2018-09-12,5054.0
2018-09-13,5054.0
2018-09-14,5187.0
2018-09-15,5054.0
2018-09-16,5187.0
2018-09-17,4788.0
2018-09-18,4921.0
2018-09-19,4921.0
2018-09-20,5320.0
2018-09-21,4921.0
2018-09-22,4921.0
2018-09-23,5054.0
2018-09-24,5054.0
2018-09-25,4651.0366
2018-09-26,5005.4018
2018-09-27,4921.0
2018-09-28,2128.0
2018-09-29,5266.002
2018-09-30,4792.5752
2018-10-01,4921.0
2018-10-02,5054.0
2018-10-03,4921.0
